linkedin_url,headline,City,State,Country,Job_Title,Employer,Grad_Year,Degree,Degree_Program,Degree_Major,Index,field_of_study,education_start_year,education_end_year,current_job_title,current_job_description,current_company_name,current_company_url,current_job_industry,current_job_country,current_job_location,current_job_start_date,previous_job_title,previous_job_description,previous_company_name,total_experience_years,skills,total_experience_count,has_current_job_description,has_previous_job_description,profile_text,skills_list,skill_count
external_validation_index_11,unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,Master of Science,Marketing (MS),Unknown,11,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_12,data analytics manager,Unknown,Unknown,Unknown,Sales Business Analyst,Nestl√©,2019,Master of Science,Analytics (MS),Analytics,12,master of science ms analytics,0,0,data analytics manager,,bloomberg industry group,https://www.bloombergindustry.com/,software development,united states,unknown,2025-03-01T00:00:00Z,senior data analyst,ä directs end to end data analytics and bi projects in an agile environment for sales marketing and ecommerce leadership teams ä defines and prioritizes key data projects ensuring alignment with the strategic data roadmap and long term business strategy while enhancing data quality and integrity across the organization ä manages cross functional business and technical stakeholders by documenting requirements translating them into scalable technical solutions and recommending streamlined ai bi and automation processes ä leads the testing and implementation of a company specific genai tool for data analysis and daily tasks conducts training sessions and develops processes to integrate genai across the business enhancing company efficiency and skill adoption ä owns advanced power bi dashboards tracking portfolio performance market share crm and distribution informing business strategy decisions across cpg categories ä provides strategic insights and recommendations that support cross functional teams in leveraging data for decision making ä mentors junior analysts on process frameworks technical tools and data methodologies and standards improving skills through targeted trainings and ongoing workshops accomplishments ä developed a crm tracker which identified and prioritized m in customer sales opportunities enabling a data driven approach to targeted acquisition and retention strategies ä transformed k online product reviews into nestle äôs first consumer sentiment bi reporting suite identifying m in p gaps and opportunities ä lead a team that developed a mapping solution linking over products to multiple data sources significantly reducing data integration and etl efforts while enhancing data accessibility for users,Nestl√©,9.2,"strategic insights,cpg industry,reporting & analysis,data science,analytics,data integration,dashboard building,azure sql,artificial intelligence (ai),business intelligence (bi),microsoft azure,ad hoc analysis,report development,business insights,databases,dashboards,sap businessobjects,statistical data analysis,big data analytics,microsoft power bi",7,0,1,data analytics manager data analytics manager bloomberg industry group senior data analyst ä directs end to end data analytics and bi projects in an agile environment for sales marketing and ecommerce leadership teams ä defines and prioritizes key data projects ensuring alignment with the strategic data roadmap and long term business strategy while enhancing data quality and integrity across the organization ä manages cross functional business and technical stakeholders by documenting requirements translating them into scalable technical solutions and recommending streamlined ai bi and automation processes ä leads the testing and implementation of a company specific genai tool for data analysis and daily tasks conducts training sessions and develops processes to integrate genai across the business enhancing company efficiency and skill adoption ä owns advanced power bi dashboards tracking portfolio performance market share crm and distribution informing business strategy decisions across cpg categories ä provides strategic insights and recommendations that support cross functional teams in leveraging data for decision making ä mentors junior analysts on process frameworks technical tools and data methodologies and standards improving skills through targeted trainings and ongoing workshops accomplishments ä developed a crm tracker which identified and prioritized m in customer sales opportunities enabling a data driven approach to targeted acquisition and retention strategies ä transformed k online product reviews into nestle äôs first consumer sentiment bi reporting suite identifying m in p gaps and opportunities ä lead a team that developed a mapping solution linking over products to multiple data sources significantly reducing data integration and etl efforts while enhancing data accessibility for users,"strategic insights, cpg industry, reporting & analysis, data science, analytics, data integration, dashboard building, azure sql, artificial intelligence (ai), business intelligence (bi), microsoft azure, ad hoc analysis, report development, business insights, databases, dashboards, sap businessobjects, statistical data analysis, big data analytics, microsoft power bi",20
external_validation_index_13,senior analyst portfolios funds management,Unknown,Unknown,Unknown,Analyst - Portfolios And Funds Management,Warba Bank,2020,Master of Business Admin,Business Administration (MBA),Business Administration,13,master of business administration mba finance general,2018,2020,senior analyst portfolios funds management,,warba bank,http://www.warbabank.com,banking,kuwait,unknown,2024-04-01T00:00:00Z,analyst portfolios funds management,,Warba Bank,4,"microsoft power bi,microsoft office,microsoft excel,bloomberg terminal",2,0,0,senior analyst portfolios funds management senior analyst portfolios funds management warba bank analyst portfolios funds management,"microsoft power bi, microsoft office, microsoft excel, bloomberg terminal",4
external_validation_index_14,senior account manager,Washington,District of Columbia,United States,Account Manager,MediaAlpha,2020,BS in Business Administration,Business Administration: Entrepreneurship: Marketing (BSBA),Business Administration,14,bachelor of science in business administration marketing and entrepreneurship,2016,2020,senior account manager,,mediaalpha,http://www.mediaalpha.com/,advertising services,united states,unknown,2025-03-01T00:00:00Z,account manager,,MediaAlpha,8.9,"microsoft excel,hootsuite,sales,social media,microsoft office,microsoft powerpoint,microsoft word,public speaking,leadership,teamwork,time management,thomson reuters eikon",6,0,0,senior account manager senior account manager mediaalpha account manager,"microsoft excel, hootsuite, sales, social media, microsoft office, microsoft powerpoint, microsoft word, public speaking, leadership, teamwork, time management, thomson reuters eikon",12
external_validation_index_15,unknown,Abu Dhabi,Unknown,United Arab Emirates,Unknown,Unknown,2019,BS in Business Administration,Business Administration: Finance (BSBA),Business Administration,15,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
external_validation_index_16,information technology consultant,Morrisville,North Carolina,United States,Unknown,Unknown,2020,Master of Science,Analytics (MS) [Online],Analytics,16,master of science ms analytics,2017,2020,information technology consultant,,ibm,http://www.ibm.com,it services and it consulting,united states,"raleigh-durham, north carolina area",2017-06-01T00:00:00Z,it test consultant,,MetLife Global Technology Operations,30.2,"watsonx.ai,method adoption,test strategy,finance,telecommunications,e-learning,software quality assurance,agile & waterfall methodologies,istqb certified,scrum,databases,test driven development,test planning,test cases,test automation,full sdlc,software development,web applications,cloud applications,embedded systems",12,0,0,information technology consultant information technology consultant ibm it test consultant,"watsonx.ai, method adoption, test strategy, finance, telecommunications, e-learning, software quality assurance, agile & waterfall methodologies, istqb certified, scrum, databases, test driven development, test planning, test cases, test automation, full sdlc, software development, web applications, cloud applications, embedded systems",20
external_validation_index_17,finance specialist äì team leader procurement funds,Washington,District of Columbia,United States,Finance Specialist ‚Äì Team Leader - Procurement Funds,Pan American Health Organization,2020,Master of Science,Accounting (MS),Accounting,17,master of science finance,2011,2014,finance specialist äì team leader procurement funds,ä part of the accounts professionals äô team who actively participate in the formulation and implementation of fund äôs financial operations policies internal controls and accounting treatment of organization wide procurement and financial transactions responsible for the reconciliation and reporting of ledger äôs accounts related to procurement funds which account for more than of paho äôs revenue as of ä frm business expert in charge of the process automatization of the procurement funds apply knowledge of technology financial databases and international public sector accounting standards ipsas to ensure policies are accurately translated to financial it systems ä liaise and respond to queries from internal and external auditors regarding procurement funds ä prepare periodic financial reports and fund äôs financial statements for executive directors other paho äôs departments member states and other participating institutions ä participate in the approval of member states äô line of credit requests up to m ä control and monitor budget for the prepayment and line of credit accounts of the funds ä supervise staff of the team provide training advice and guidance on issues arising from the day to day activities of the office,pan american health organization,http://www.paho.org,international affairs,united states,"washington, united states",2021-05-01T00:00:00Z,finance specialist äì accounting operations and statutory reporting,ä lead the formulation and automation of the procurement funds into workday and the implementation of financial policies for financial reporting according to the international public sector accounting standards ipsas ensure these policies are accurately translated to financial it systems ä focal point for the year end financial closure of the funds prepare and register year end accounting adjusting entries in pmis such as accruals and prepaids ä prepare organization wide training material for different levels of organizational hierarchy including job aids presentations bulletins standard operating procedures and recordings in different languages reflecting the current requirements of workday ä act as a signatory on the organization äôs bank and investment accounts including electronic banking ä provide cross functional support in the accounts unit projects such as biennium closure electronic communications cost center closure schedule and training etc,Pan American Health Organization,16.8,"spanish,financial reporting,organization skills,international relations,financial analysis,english,interpersonal skills,policy analysis,management,team leadership,relaciones internacionales,cooperaci√≥n internacional,administraci√≥n y direcci√≥n de empresas,investigaci√≥n y desarrollo,an√°lisis,microsoft office,am√©rica latina,international development,analysis,research",9,1,1,finance specialist äì team leader procurement funds finance specialist äì team leader procurement funds ä part of the accounts professionals äô team who actively participate in the formulation and implementation of fund äôs financial operations policies internal controls and accounting treatment of organization wide procurement and financial transactions responsible for the reconciliation and reporting of ledger äôs accounts related to procurement funds which account for more than of paho äôs revenue as of ä frm business expert in charge of the process automatization of the procurement funds apply knowledge of technology financial databases and international public sector accounting standards ipsas to ensure policies are accurately translated to financial it systems ä liaise and respond to queries from internal and external auditors regarding procurement funds ä prepare periodic financial reports and fund äôs financial statements for executive directors other paho äôs departments member states and other participating institutions ä participate in the approval of member states äô line of credit requests up to m ä control and monitor budget for the prepayment and line of credit accounts of the funds ä supervise staff of the team provide training advice and guidance on issues arising from the day to day activities of the office pan american health organization finance specialist äì accounting operations and statutory reporting ä lead the formulation and automation of the procurement funds into workday and the implementation of financial policies for financial reporting according to the international public sector accounting standards ipsas ensure these policies are accurately translated to financial it systems ä focal point for the year end financial closure of the funds prepare and register year end accounting adjusting entries in pmis such as accruals and prepaids ä prepare organization wide training material for different levels of organizational hierarchy including job aids presentations bulletins standard operating procedures and recordings in different languages reflecting the current requirements of workday ä act as a signatory on the organization äôs bank and investment accounts including electronic banking ä provide cross functional support in the accounts unit projects such as biennium closure electronic communications cost center closure schedule and training etc,"spanish, financial reporting, organization skills, international relations, financial analysis, english, interpersonal skills, policy analysis, management, team leadership, relaciones internacionales, cooperaci√≥n internacional, administraci√≥n y direcci√≥n de empresas, investigaci√≥n y desarrollo, an√°lisis, microsoft office, am√©rica latina, international development, analysis, research",20
external_validation_index_18,supervisor,Washington,District of Columbia,United States,Senior Consultant,Armanino,2020,Bachelor of Science,Accounting (BS),Accounting,18,master s degree,2022,2024,supervisor,,cbiz,http://www.cbiz.com,business consulting and services,united states,"washington, district of columbia, united states",2025-03-01T00:00:00Z,senior consultant,,Armanino LLP,7.8,"microsoft office,adobe photoshop,adobe premiere pro,microsoft access,databases",7,0,0,supervisor supervisor cbiz senior consultant,"microsoft office, adobe photoshop, adobe premiere pro, microsoft access, databases",5
external_validation_index_19,digital marketing,Frederick,Maryland,United States,Digital Marketing,Atlantic Records,2020,BS in Business Administration,Business Administration: Self-Designed (BSBA),Business Administration,19,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,digital marketing,,0
external_validation_index_20,supervisory facilities operations specialist,Manassas,Virginia,United States,Supervisory Budget Analyst,U.S. Department of Justice,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,20,master of business administration mba business administration with a concentration in finance,2018,2019,supervisory facilities operations specialist,provide leadership oversight and supervise personnel to include overall support for the operation maintenance and repair of all buildings facilities operating systems and stand alone equipment on site collaborate with the unit chief to oversee the area of responsibilities for the unit coordinate with the contracting officer s representatives cor for multi million dollar facility maintenance and supply contracts analyze and provide information advice and detailed supporting data to upper management and executives to meet schedule project timelines spearheads communications and develops relationships with other units in the section division agency and other government agencies oga in support of facilities operations and maintenance,u s department of justice,http://www.justice.gov,law enforcement,united states,"washington, dc",2025-10-01T00:00:00Z,supervisory budget analyst,oversee and coach employees assigned to the unit spearhead the acquisition life cycle for all current and new multi year multi million dollar contracts collaborate with stakeholders to formulate simulate and execute the non direct and direct funds for the zero based budgeting for the division formulate and conduct presentations and white papers utilizing quantitative and qualitative data for executive management decision making supervise the management of assets space allocation and logistics assigned to the division,U.S. Department of Justice,10.4,"personnel management,facility management (fm),program management,it management,it service management,databases,complex project management,government,supportive services,strategic project management,project management,construction drawings,autocad architecture,microsoft project,visio,soft skills,strategic communications,document drafting,floor plans,financial management",4,1,1,supervisory facilities operations specialist supervisory facilities operations specialist provide leadership oversight and supervise personnel to include overall support for the operation maintenance and repair of all buildings facilities operating systems and stand alone equipment on site collaborate with the unit chief to oversee the area of responsibilities for the unit coordinate with the contracting officer s representatives cor for multi million dollar facility maintenance and supply contracts analyze and provide information advice and detailed supporting data to upper management and executives to meet schedule project timelines spearheads communications and develops relationships with other units in the section division agency and other government agencies oga in support of facilities operations and maintenance u s department of justice supervisory budget analyst oversee and coach employees assigned to the unit spearhead the acquisition life cycle for all current and new multi year multi million dollar contracts collaborate with stakeholders to formulate simulate and execute the non direct and direct funds for the zero based budgeting for the division formulate and conduct presentations and white papers utilizing quantitative and qualitative data for executive management decision making supervise the management of assets space allocation and logistics assigned to the division,"personnel management, facility management (fm), program management, it management, it service management, databases, complex project management, government, supportive services, strategic project management, project management, construction drawings, autocad architecture, microsoft project, visio, soft skills, strategic communications, document drafting, floor plans, financial management",20
external_validation_index_21,law clerk,Murphy,Texas,United States,"Founder, CEO",Andolina Investments LLC,2019,BS in Business Administration,Business Administration: Self-Designed (BSBA),Business Administration,21,doctor of law jd,2023,2026,law clerk,drafted hundreds of petitions and motions for commercial litigation helped manage a heavy case load of fast paced litigation researched issues of creditor äôs rights insurance defense business organizations and civil litigation drafted memoranda to help inform clients of litigation matters,quilling selander lownds winslett moser p c,http://www.qslwm.com,law practice,united states,"dallas, texas, stati uniti d'america",2025-05-01T00:00:00Z,legal extern,drafted contracts memoranda and board resolutions to assist nonprofits achieve their organizational goals researched issues of nonprofit transactions management formation and dissolution drafted web agreements including privacy policies for nonprofit clients to use in their websites,Our Community Law,9.8,"motion drafting,contract drafting,legal writing,legal research,claims management,analytical skills,microsoft excel,microsoft powerpoint,microsoft access,financial analysis,financial reporting,forecasting,accounting,financial modeling",5,1,1,law clerk law clerk drafted hundreds of petitions and motions for commercial litigation helped manage a heavy case load of fast paced litigation researched issues of creditor äôs rights insurance defense business organizations and civil litigation drafted memoranda to help inform clients of litigation matters quilling selander lownds winslett moser p c legal extern drafted contracts memoranda and board resolutions to assist nonprofits achieve their organizational goals researched issues of nonprofit transactions management formation and dissolution drafted web agreements including privacy policies for nonprofit clients to use in their websites,"motion drafting, contract drafting, legal writing, legal research, claims management, analytical skills, microsoft excel, microsoft powerpoint, microsoft access, financial analysis, financial reporting, forecasting, accounting, financial modeling",14
external_validation_index_22,sales consultant,Sussex,New Jersey,United States,Sales Consultant,Chrysler Jeep Dodge Of Warwick,2020,BS in Business Administration,Business Administration: Accounting: Finance (BSBA),Business Administration,22,master s degree accounting,2020,2021,sales consultant,,chrysler jeep dodge of warwick,http://www.chryslerjeepdodgeofwarwick.net/index.htm,motor vehicle manufacturing,united states,"warwick, new york, united states",2017-06-01T00:00:00Z,,,NA,2.2,"accounting,sales consulting,teamwork,communication,time management",1,0,0,sales consultant sales consultant chrysler jeep dodge of warwick,"accounting, sales consulting, teamwork, communication, time management",5
external_validation_index_23,statistical data coordinator,Chandigarh,Unknown,India,Unknown,Unknown,2020,Master of Science,Analytics (MS),Analytics,23,master s analytics,2018,2020,statistical data coordinator,,york region the regional municipality of york,http://www.york.ca,government administration,canada,"newmarket, ontario, canada",2025-07-01T00:00:00Z,data management consultant,ä engineered a data pipeline using fivetran for automated data ingestion from aws s to snowflake implemented dbt cloud for data transformation and facilitated tableau visualization resulting in a hour weekly time savings for the team ä automated key data pipeline freeing up engineering hours per week for strategic initiatives by leveraging dbt and modular design for maintainable transformations ä accountable for developing custom api integration to automate bidirectional batch data synchronization between erp systems ensuring data consistency ä developed intuitive sales dashboards with interactive filters streamlining reporting and saving the team hours per week ä developed a net solution to bypass limitations with the existing quickbooks desktop sync tool automating timesheet data extraction and saving the team hours per week ä built a jira reporting tool featuring custom sql interactive dashboards and role based access control resulting in a reduction in project delays,MandSConsulting,10.8,"business development,dbt,process improvement,information technology,amazon web services (aws),agile project management,git,customer service,web design,data cleaning,data structures,reporting & analysis,process automation,r (programming language),data analysis,data mining,data visualization,software development,data science,business analysis",13,0,1,statistical data coordinator statistical data coordinator york region the regional municipality of york data management consultant ä engineered a data pipeline using fivetran for automated data ingestion from aws s to snowflake implemented dbt cloud for data transformation and facilitated tableau visualization resulting in a hour weekly time savings for the team ä automated key data pipeline freeing up engineering hours per week for strategic initiatives by leveraging dbt and modular design for maintainable transformations ä accountable for developing custom api integration to automate bidirectional batch data synchronization between erp systems ensuring data consistency ä developed intuitive sales dashboards with interactive filters streamlining reporting and saving the team hours per week ä developed a net solution to bypass limitations with the existing quickbooks desktop sync tool automating timesheet data extraction and saving the team hours per week ä built a jira reporting tool featuring custom sql interactive dashboards and role based access control resulting in a reduction in project delays,"business development, dbt, process improvement, information technology, amazon web services (aws), agile project management, git, customer service, web design, data cleaning, data structures, reporting & analysis, process automation, r (programming language), data analysis, data mining, data visualization, software development, data science, business analysis",20
external_validation_index_24,business consultant staff,Fort Lauderdale,Florida,United States,Business Consultant - Staff,Ernst & Young Global Consulting Services,2020,Bachelor of Science,Business and Entertainment: Agency (BS),Business and Entertainment,24,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,business consultant staff,,0
external_validation_index_25,unknown,Key Biscayne,Florida,United States,Unknown,Unknown,2020,Master of Business Admin,Business Administration (MBA),Business Administration,25,,NA,NA,,,,NA,unknown,unknown,unknown,NA,,,NA,0,,0,0,0,unknown,,0
